,specimen_prediction,Id,paper
8286, LSUMG 5680 ,,0
8322, TMM 31051 64 ,",",0
8330, TMM 31051 ,",",0
8384, TMM 31051 84 ,",,,,,,,,",0
8387, TMM 31051 59 TMM 31051 64 TMM 31051 84 ,,0
8533, SMU 73056 ,,0
8534, TMM 31051 59 ,",",0
8565, TMM MSC ,",",0
8568, CDM 022 ,,0
9096, NBS987 GSB 04 3258 ,"Evidence from Late Cretaceous-Paleogene volcanic rocks of the Kyrenia Range, northern Cyprus for the northern, active continental margin of the Southern Neotethys",8
9263, BABB ,"Evidence from Late Cretaceous-Paleogene volcanic rocks of the Kyrenia Range, northern Cyprus for the northern, active continental margin of the Southern Neotethys",8
9295, BABB FAPB ,"Evidence from Late Cretaceous-Paleogene volcanic rocks of the Kyrenia Range, northern Cyprus for the northern, active continental margin of the Southern Neotethys",8
9689, STTFZ ,Edinburgh Research Explorer Provenance and magmatic-tectonic setting of Campanian-aged volcaniclastic sandstones of the Kannaviou Formation in western Cyprus: evidence for a Southern Neotethyan continental margin volcanic arc,7
9902, TTU A903 ,,0
10187, SMU 332 ,,0
10250, KA8 5 ,,0
10251, TTU TTU A201 ,,0
10256, TTU TTU TTU TTU ,,0
10269, TTU A12356 ,,0
10294, TTU A22364 ,,0
10328, TTU TTU ,",",0
10329, TTU A916 ,,0
10330, TTU TTU A822 TTU A873 TTU TTU ,,0
10370, TTU 60 47 279 ,,0
10380, TTU A23864 ,,0
10381, TTU A23528 ,,0
